prod/prod-CurlyArrayConstructor	5	5
prod/prod-DecimalFormatDecl	40	41
prod/prod-DefaultCollationDecl	12	12
prod/prod-DefaultNamespaceDecl	57	59
prod/prod-DirAttributeList	130	133
prod/prod-DirElemConstructor	69	69
prod/prod-DirElemContent	122	132
prod/prod-DirElemContent.namespace	113	133
prod/prod-DirElemContent.whitespace	79	83
prod/prod-DirectConstructor	79	91
prod/prod-EQName	47	49
prod/prod-EmptyOrderDecl	32	32
prod/prod-ExtensionExpr	56	56
prod/prod-FLWORExpr	0	21
prod/prod-FLWORExpr.static-typing	25	28
prod/prod-ForClause	185	189
prod/prod-FunctionCall	106	134
prod/prod-FunctionDecl	152	155
prod/prod-GeneralComp.eq	191	193
prod/prod-GeneralComp.ge	112	112
prod/prod-GeneralComp.gt	118	118
prod/prod-GeneralComp.le	108	108
prod/prod-GeneralComp.lt	133	133
prod/prod-GeneralComp.ne	140	140
prod/prod-GroupByClause	22	35
prod/prod-IfExpr	42	42
prod/prod-InlineFunctionExpr	32	37
prod/prod-InstanceofExpr	297	309
prod/prod-LetClause	87	89
prod/prod-Literal	165	174
prod/prod-Lookup	103	108
prod/prod-MapConstructor	42	42
prod/prod-MapTest	45	46
prod/prod-ModuleImport	97	112
prod/prod-NameTest	120	127
prod/prod-NamedFunctionRef	551	552
prod/prod-NamespaceDecl	43	44
prod/prod-NodeTest	62	68
prod/prod-OptionDecl	8	8
prod/prod-OptionDecl.serialization	34	37
prod/prod-OrExpr	371	371
prod/prod-OrderByClause	203	205
prod/prod-OrderingModeDecl	27	27
prod/prod-ParenthesizedExpr	20	20
prod/prod-PathExpr	24	28
prod/prod-PositionalVar	34	34
prod/prod-Predicate	204	205
prod/prod-QuantifiedExpr	203	203
prod/prod-ReturnClause	21	21
prod/prod-SchemaImport	29	135
prod/prod-SequenceType	21	21
prod/prod-SquareArrayConstructor	5	6
prod/prod-StepExpr	53	58
prod/prod-StringConstructor	52	52
prod/prod-SwitchExpr	27	27
prod/prod-TreatExpr	71	71
prod/prod-TryCatchExpr	171	173
prod/prod-TypeswitchExpr	70	72
prod/prod-UnaryLookup	32	34
prod/prod-UnorderedExpr	26	26
prod/prod-ValidateExpr	5	85
prod/prod-ValueComp	99	101
prod/prod-VarDecl	126	128
prod/prod-VarDecl.external	62	97
prod/prod-VarDefaultValue	24	37
prod/prod-VersionDecl	35	35
prod/prod-WhereClause	82	82
prod/prod-WindowClause	132	135
ser/method-adaptive	78	89
ser/method-html	54	64
ser/method-json	61	74
ser/method-text	15	18
ser/method-xhtml	34	49
ser/method-xml	15	43
xs/xs-anyURI	13	17
xs/xs-base64Binary	39	39
xs/xs-dateTimeStamp	6	6
xs/xs-double	4	5
xs/xs-error	54	54
xs/xs-float	5	6
xs/xs-hexBinary	1	1
xs/xs-normalizedString	5	7
xs/xs-numeric	20	22
xs/xs-token	7	7
